Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
544412,3BFILMS,3B Films Ltd,Active,M,10,INE0TE101010,Capital Goods
544190,3CIT,3C IT Solutions and Telecoms (India) Ltd,Active,MT,5,INE0R7D01018,Information Technology
543319,AAPLUSTRAD,AA Plus Tradelink Ltd,Active,M,1,INE0C5901022,Services
543346,AASHKA,Aashka Hospitals Ltd,Active,M,10,INE0EAX01014,Healthcare
540718,AAYUSHBULL,Aayush Art And Bullion Ltd,Active,M,10,INE777X01017,Textiles
544422,ABRFL,Abram Food Ltd,Active,M,10,INE0ZDY01011,Fast Moving Consumer Goods
544500,ABRIL,Abril Paper Tech Ltd,Active,M,10,INE15MX01014,Capital Goods
543938,ACCELERATE,Acceleratebs India Ltd,Active,MT,10,INE0POP01017,Information Technology
544710,ACCORDTS,Accord Transformer & Switchgear Ltd,Active,M,10,INE132201018,Capital Goods
544431,ACEALPHA,Ace Alpha Tech Ltd,Active,M,10,INE0S9X01011,Information Technology
539570,ACEWIN,Acewin Agriteck Ltd,D,MT,10,INE742R01013,Fast Moving Consumer Goods
536737,ACFSL,Amrapali Capital and Finance Services Ltd,Active,MT,10,INE218P01018,Financial Services
544213,ACLD,Aelea Commodities Ltd,Active,M,10,INE0T3401029,Fast Moving Consumer Goods
540146,ACML,Aditya Consumer Marketing Ltd,Active,M,10,INE427V01013,Consumer Services
544435,ADCOUNTY,Adcounty Media India Ltd,Active,M,10,INE0W1601012,"Media, Entertainment & Publication"
543309,ADESHWAR,Adeshwar Meditex Ltd,Active,M,10,INE0H8J01015,Healthcare
780018,ADHIRAJ (ITP),Adhiraj Distributors Ltd (ITP),Active,IP,10,INE067R01015,-
543377,ADISHAKTI,Adishakti Loha and Ispat Ltd,Active,M,10,INE0CWK01019,Capital Goods
544669,ADMACH,Admach Systems Ltd,Active,M,10,INE0XLO01010,Capital Goods
544224,AFCOM,Afcom Holdings Ltd,Active,M,10,INE0OXY01013,Services
537492,AGRIMONY,Agrimony Commodities Ltd,D,MT,10,INE567P01018,Services
543941,AHASOLAR,Ahasolar Technologies Ltd,Active,M,10,INE0NEV01011,Consumer Services
544072,AIKPIPES,AIK Pipes and Polymers Ltd,Active,MT,10,INE0QFT01015,Capital Goods
544516,AIRFLOA,Airfloa Rail Technology Ltd,Active,M,10,INE0XBS01012,Capital Goods
544425,AJCJEWEL,AJC Jewel Manufacturers Ltd,Active,MT,10,INE0XRR01010,Consumer Durables
543453,ALKOSIGN,Alkosign Ltd,Active,M,10,INE0KA601012,Fast Moving Consumer Goods
543937,ALPHAIND,Alphalogic Industries Ltd,Active,MT,10,INE0NZF01019,Capital Goods
543804,AMANAYA,Amanaya Ventures Ltd,Active,M,10,INE0G1V01016,Metals & Mining
543678,AMBOAGRI,Ambo Agritec Ltd,Active,M,10,INE0N6V01016,Fast Moving Consumer Goods
544555,AMEENJI,Ameenji Rubber Ltd,Active,M,10,INE14QA01016,Capital Goods
544037,AMIC,Amic Forging Ltd,Active,M,10,INE0P9J01013,Capital Goods
544169,AMKAY,Amkay Products Ltd,Active,M,10,INE0QSB01016,Healthcare
539265,AMRAFIN,Amrapali Fincap Ltd,Active,MT,10,INE990S01016,Financial Services
544353,AMWILL,Amwill Health Care Ltd,Active,MT,10,INE0U2L01017,Healthcare
541006,ANGEL,Angel Fibers Ltd,Active,M,10,INE339Z01011,Textiles
544694,ANL,Accretion Nutraveda Ltd,Active,M,10,INE1KVQ01019,Healthcare
544445,APL,Asston Pharmaceuticals Ltd,Active,M,10,INE0SJX01015,Healthcare
544529,APPL,Aptus Pharma Ltd,Active,MT,10,INE15XJ01010,Healthcare
539403,ARAMBHAN,Arambhan Hospitality Services Ltd,D,M,10,INE800S01017,Consumer Services
541401,ARIHANTINS,Arihant Institute Ltd,S,MT,10,INE997Z01016,Consumer Services
544683,ARITAS,Aritas Vinyl Ltd,Active,M,10,INE1D8001016,Consumer Durables
544025,ARROWHEAD,Arrowhead Seperation Engineering Ltd,Active,M,10,INE0PP401015,Capital Goods
543943,ASARFI,Asarfi Hospital Ltd,Active,M,10,INE0DN001027,Healthcare
544183,ASSOCIATED,Associated Coaters Ltd,Active,M,10,INE0RIQ01013,Capital Goods
544409,ASTONEALAB,Astonea Labs Ltd,Active,M,10,INE0TG901011,Healthcare
544628,ASTRONMULT,Astron Multigrain Ltd,Active,M,10,INE0RUY01012,Fast Moving Consumer Goods
544417,ATENPAPERS,Aten Papers & Foam Ltd,Active,M,10,INE0XCV01014,Forest Materials
539099,ATHCON,Athena Constructions Ltd,Active,M,10,INE291R01011,Realty
544671,ATIL,Apollo Techno Industries Ltd,Active,M,10,INE0X4A01013,Capital Goods
536492,ATWL,Ace Tours Worldwide Ltd,D,MT,10,INE926O01019,-
544505,AUSTERE,Austere Systems Ltd,Active,M,10,INE104201012,Information Technology
780004,AUTUMN (ITP),Autumn Builders Ltd (ITP),S,IP,10,INE733P01016,-
544337,AVAX,Avax Apparels and Ornaments Ltd,Active,MT,5,INE0NQ401024,Textiles
544177,AZTEC,Aztec Fluids & Machinery Ltd,Active,M,10,INE0SCB01016,Information Technology
544670,BAIKAKAJI,Bai-Kakaji Polymers Ltd,Active,M,10,INE1IJQ01026,Consumer Durables
543497,BCCL,Bhatia Colour Chem Ltd,Active,M,10,INE0KQ001017,Chemicals
544468,BDI,B. D. Industries (Pune) Ltd,Active,M,10,INE1LJ801017,Capital Goods
544369,BEEZAASAN,Beezaasan Explotech Ltd,Active,M,10,INE13VU01016,Chemicals
541178,BENARA,Benara Bearings and Pistons Ltd,Active,MT,10,INE495Z01011,Capital Goods
544052,BENCHMARK,Benchmark Computer Solutions Ltd,Active,M,10,INE0Q2Z01013,Information Technology
538576,BHANDERI,Bhanderi Infracon Ltd,Active,MT,10,INE336Q01016,Realty
544535,BHARATROHAN,Bharatrohan Airborne Innovations Ltd,Active,M,10,INE0QMV01017,Fast Moving Consumer Goods
544551,BHAVIK,Bhavik Enterprises Ltd,Active,M,10,INE18PB01017,Chemicals
543209,BILLWIN,Billwin Industries Ltd,Active,M,10,INE0CRS01012,Diversified
540148,BINDALEXPO,Bindal Exports Ltd,Active,MT,10,INE564V01013,Consumer Durables
543926,BIZOTIC,Bizotic Commercial Ltd,Active,MT,10,INE0OJ401014,Textiles
544474,BLT,BLT Logistics Ltd,Active,M,10,INE0W4K01013,Services
535279,BMAL,Bothra Metals & Alloys Ltd,Active,M,10,INE583M01012,Metals & Mining
543971,BONDADA,Bondada Engineering Ltd,Active,M,2,INE0Q8P01029,Telecommunication
543439,BRANDBUCKT,Brandbucket Media & Technology Ltd,S,MT,10,INE0ILD01014,"Media, Entertainment & Publication"
544335,BRGIL,B.R.Goyal Infrastructure Ltd,Active,M,10,INE00ST01011,Construction
543831,BRIGHT,Bright Outdoor Media Ltd,Active,M,10,INE0OMI01019,"Media, Entertainment & Publication"
544101,BRISK,Brisk Technovision Ltd,Active,M,10,INE0Q6L01014,Information Technology
544231,BROACH,Broach Lifecare Hospital Ltd,Active,M,10,INE0SFZ01018,Healthcare
543543,BRRL,B-Right Realestate Ltd,Active,MT,10,INE0IZQ01016,Realty
539637,BVL,Blueblood Ventures Ltd,S,M,10,INE562S01013,Financial Services
543621,CARGOSOL,Cargosol Logistics Ltd,Active,M,10,INE0KZM01011,Services
543618,CARGOTRANS,Cargotrans Maritime Ltd,Active,M,10,INE0M4L01013,Services
542934,CBPL,Chandra Bhagat Pharma Ltd,Active,M,10,INE07QQ01016,Healthcare
544000,CCAL,City Crops Agro Ltd,Active,M,10,INE0M7501019,Fast Moving Consumer Goods
543920,CFF,CFF Fluid Control Ltd,Active,M,10,INE0NJ001013,Capital Goods
544151,CHATHA,Chatha Foods Ltd,Active,M,10,INE0AH901011,Fast Moving Consumer Goods
542678,CHCL,Cian Healthcare Ltd,Active,MT,10,INE05BN01027,Healthcare
544442,CHEMKART,Chemkart India Ltd,Active,M,10,INE0VWL01017,Fast Moving Consumer Goods
544561,CHIRAHARIT,Chiraharit Ltd,Active,MT,1,INE12P101018,Construction
540681,CHOTHANI,Chothani Foods Ltd,Active,M,10,INE344X01016,Fast Moving Consumer Goods
544546,CHTR,Chatterbox Technologies Ltd,Active,MT,10,INE1B4801017,"Media, Entertainment & Publication"
544324,CITICHEM,Citichem India Ltd,Active,M,10,INE0A8401016,Chemicals
780013,CITYON (ITP),Cityon Systems (India) Ltd (ITP),S,IP,10,INE324P01014,-
544514,CITYSQUARE,Jay Ambe Supermarkets Ltd,Active,MT,10,INE1DRH01011,Consumer Services
543435,CLARA,Clara Industries Ltd,Active,M,10,INE0JJS01014,Capital Goods
544347,CLN,CLN Energy Ltd,Active,M,10,INE0WDX01010,Automobile and Auto Components
543619,CNCRD,Concord Control Systems Ltd,Active,M,10,INE0N0J01014,Capital Goods
535142,CNEL,Channel Nine Entertainment Ltd,D,MT,1,INE437O01025,"Media, Entertainment & Publication"
544343,CNINFOTECH,Capitalnumbers Infotech Ltd,Active,M,10,INE0WXM01011,Information Technology
543843,COMMAND,Command Polymers Ltd,Active,MT,10,INE0LKQ01012,Capital Goods
543921,COMRADE,Comrade Appliances Ltd,Active,M,10,INE0NXA01015,Consumer Durables
543606,CONTAINE,Containe Technologies Ltd,Active,MT,10,INE0M8901010,Capital Goods
543928,COSMICCRF,Cosmic CRF Ltd,Active,M,10,INE0ORA01015,Capital Goods
543172,COSPOWER,Cospower Engineering Ltd,Active,M,10,INE0CQB01010,Capital Goods
544195,COTFAB,United Cotfab Ltd,Active,M,10,INE0S0I01011,Textiles
542727,CPML,City Pulse Multiventures Ltd,Active,M,10,INE056001014,Consumer Services
540903,CRPRISK,CRP Risk Management Ltd,S,M,10,INE422M01013,Services
544440,CRYOGENIC,Cryogenic Ogs Ltd,Active,M,10,INE0TL001013,Capital Goods
540652,CTCL,Captain Technocast Ltd,Active,M,10,INE931X01010,Capital Goods
544220,CTLLAB,Clinitech Laboratory Ltd,Active,M,10,INE0QMR01015,Healthcare
544667,DACHEPALLI,Dachepalli Publishers Ltd,Active,M,10,INE1F9M01018,"Media, Entertainment & Publication"
543651,DAPS,DAPS Advertising Ltd,Active,M,10,INE975Z01012,"Media, Entertainment & Publication"
544331,DAVIN,Davin Sons Retail Ltd,Active,M,10,INE0Q2L01013,Textiles
542002,DCL,Devoted Construction Ltd,S,M,10,INE061Z01011,Realty
